desired/rot/x,desired/rot/y,desired/rot/z,desired/time,feedback/rot/x,feedback/rot/y,feedback/rot/z,feedback/time,input/rot/x,input/rot/y,input/rot/z,input/time,loadcell/tran/x,loadcell/tran/y,loadcell/tran/z,loadcell/rot/x,loadcell/rot/y,loadcell/rot/z,loadcell/time,feedback/pos/x,feedback/pos/y,feedback/pos/z,temp01,temp02,temp03,temp04,springTargetLength,springCurrentLength,motorPosition,motorSpeed,motorTrajGen,marker/1_1/ts,marker/1_1/x,marker/1_1/y,marker/1_1/z,marker/1_2/ts,marker/1_2/x,marker/1_2/y,marker/1_2/z,marker/1_3/ts,marker/1_3/x,marker/1_3/y,marker/1_3/z,marker/1_4/ts,marker/1_4/x,marker/1_4/y,marker/1_4/z,marker/1_5/ts,marker/1_5/x,marker/1_5/y,marker/1_5/z,marker/1_6/ts,marker/1_6/x,marker/1_6/y,marker/1_6/z,marker/1_7/ts,marker/1_7/x,marker/1_7/y,marker/1_7/z,marker/1_8/ts,marker/1_8/x,marker/1_8/y,marker/1_8/z,marker/1_9/ts,marker/1_9/x,marker/1_9/y,marker/1_9/z,marker/1_10/ts,marker/1_10/x,marker/1_10/y,marker/1_10/z,marker/1_11/ts,marker/1_11/x,marker/1_11/y,marker/1_11/z,marker/1_12/ts,marker/1_12/x,marker/1_12/y,marker/1_12/z,marker/1_13/ts,marker/1_13/x,marker/1_13/y,marker/1_13/z,marker/1_14/ts,marker/1_14/x,marker/1_14/y,marker/1_14/z,marker/1_15/ts,marker/1_15/x,marker/1_15/y,marker/1_15/z,marker/1_16/ts,marker/1_16/x,marker/1_16/y,marker/1_16/z
0,0,0,0,-0.306906,-3.92699e-06,-4.71239e-05,4112,0,0,0,0,8.1644,-0.214289,-13.783,-0.503947,0.158223,0.169679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96418,-0.06098,0.17457,0,0.9695,-0.08578,0.17019,0,0.97018,-0.22036,0.1328,0,0.97818,-0.21083,0.17198,0,0.94835,-0.14832,0.12079,0,0.96305,-0.12888,0.12759,0,0.96579,-0.1486,0.15688,0,0.99032,-0.15322,0.15719,0,0.99338,-0.16825,0.17693,0,0.95878,-0.09665,0.19115,0,0.94771,-0.11825,0.14617,0,0.97861,-0.20029,0.1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4000,-0.306906,-3.92699e-06,-4.71239e-05,8024,0,0,0,4000,8.21534,-0.228666,-13.8319,-0.503854,0.157119,0.168228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96427,-0.06076,0.17455,0,0.96952,-0.08587,0.17016,0,0.97011,-0.22044,0.13277,0,0.97809,-0.21076,0.17194,0,0.94864,-0.14837,0.12089,0,0.96291,-0.1288,0.12752,0,0.96603,-0.14856,0.15692,0,0.99047,-0.15353,0.15716,0,0.99328,-0.16831,0.17697,0,0.95861,-0.097,0.19115,0,0.94778,-0.11853,0.14628,0,0.97848,-0.20001,0.14749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8000,-0.306906,-3.92699e-06,-4.71239e-05,12019,0,0,0,8000,8.25507,-0.240901,-13.9039,-0.502702,0.157127,0.166748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96427,-0.06076,0.17455,0,0.96952,-0.08587,0.17016,0,0.97011,-0.22044,0.13277,0,0.97809,-0.21076,0.17194,0,0.94864,-0.14837,0.12089,0,0.96291,-0.1288,0.12752,0,0.96603,-0.14856,0.15692,0,0.99047,-0.15353,0.15716,0,0.99328,-0.16831,0.17697,0,0.95861,-0.097,0.19115,0,0.94778,-0.11853,0.14628,0,0.97848,-0.20001,0.14749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12000,-0.306906,0,-4.71239e-05,16018,0,0,0,12000,8.25639,-0.246094,-13.9456,-0.501558,0.157813,0.166184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96427,-0.06076,0.17455,0,0.96952,-0.08587,0.17016,0,0.97011,-0.22044,0.13277,0,0.97809,-0.21076,0.17194,0,0.94864,-0.14837,0.12089,0,0.96291,-0.1288,0.12752,0,0.96603,-0.14856,0.15692,0,0.99047,-0.15353,0.15716,0,0.99328,-0.16831,0.17697,0,0.95861,-0.097,0.19115,0,0.94778,-0.11853,0.14628,0,0.97848,-0.20001,0.14749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16000,-0.306902,-3.92699e-06,-4.31969e-05,20017,0,0,0,16000,8.24845,-0.248238,-13.9521,-0.500811,0.158703,0.166458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96425,-0.06085,0.17454,0,0.96956,-0.08567,0.17017,0,0.97034,-0.2208,0.13278,0,0.97814,-0.21075,0.17192,0,0.94851,-0.14835,0.12084,0,0.96287,-0.12883,0.12751,0,0.96588,-0.14866,0.15688,0,0.99021,-0.15339,0.15717,0,0.99344,-0.16838,0.17696,0,0.95881,-0.09674,0.19116,0,0.9477,-0.11825,0.14623,0,0.9785,-0.20002,0.14753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20000,-0.306898,-3.92699e-06,-3.14159e-05,24016,0,0,0,20000,8.23955,-0.247796,-13.9277,-0.500279,0.160109,0.167283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96425,-0.06085,0.17454,0,0.96956,-0.08567,0.17017,0,0.97034,-0.2208,0.13278,0,0.97814,-0.21075,0.17192,0,0.94851,-0.14835,0.12084,0,0.96287,-0.12883,0.12751,0,0.96588,-0.14866,0.15688,0,0.99021,-0.15339,0.15717,0,0.99344,-0.16838,0.17696,0,0.95881,-0.09674,0.19116,0,0.9477,-0.11825,0.14623,0,0.9785,-0.20002,0.14753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,24000,-0.306894,-3.92699e-06,-2.74889e-05,28016,0,0,0,24000,8.22409,-0.246274,-13.8905,-0.499825,0.161621,0.168252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96425,-0.06085,0.17454,0,0.96956,-0.08567,0.17017,0,0.97034,-0.2208,0.13278,0,0.97814,-0.21075,0.17192,0,0.94851,-0.14835,0.12084,0,0.96287,-0.12883,0.12751,0,0.96588,-0.14866,0.15688,0,0.99021,-0.15339,0.15717,0,0.99344,-0.16838,0.17696,0,0.95881,-0.09674,0.19116,0,0.9477,-0.11825,0.14623,0,0.9785,-0.20002,0.14753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28000,-0.30689,-3.92699e-06,-2.35619e-05,32016,0,0,0,28000,8.20165,-0.244171,-13.8821,-0.499472,0.161722,0.169184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96425,-0.06085,0.17454,0,0.96956,-0.08567,0.17017,0,0.97034,-0.2208,0.13278,0,0.97814,-0.21075,0.17192,0,0.94851,-0.14835,0.12084,0,0.96287,-0.12883,0.12751,0,0.96588,-0.14866,0.15688,0,0.99021,-0.15339,0.15717,0,0.99344,-0.16838,0.17696,0,0.95881,-0.09674,0.19116,0,0.9477,-0.11825,0.14623,0,0.9785,-0.20002,0.14753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32000,-0.306883,-3.92699e-06,-1.9635e-05,36016,0,0,0,32000,8.16906,-0.238299,-13.8992,-0.499121,0.160701,0.170062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96425,-0.06085,0.17454,0,0.96956,-0.08567,0.17017,0,0.97034,-0.2208,0.13278,0,0.97814,-0.21075,0.17192,0,0.94851,-0.14835,0.12084,0,0.96287,-0.12883,0.12751,0,0.96588,-0.14866,0.15688,0,0.99021,-0.15339,0.15717,0,0.99344,-0.16838,0.17696,0,0.95881,-0.09674,0.19116,0,0.9477,-0.11825,0.14623,0,0.9785,-0.20002,0.14753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,36000,-0.306867,-3.92699e-06,-1.9635e-05,40024,0,0,0,36000,8.13551,-0.231548,-13.9098,-0.498871,0.159518,0.170504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96445,-0.06102,0.17458,0,0.96963,-0.08581,0.17014,0,0.9702,-0.2205,0.13275,0,0.97805,-0.21075,0.17193,0,0.94855,-0.14832,0.12086,0,0.96293,-0.12889,0.12753,0,0.96592,-0.14863,0.15689,0,0.99047,-0.1536,0.15717,0,0.99344,-0.16852,0.17698,0,0.95879,-0.09672,0.19111,0,0.94778,-0.11828,0.14621,0,0.97858,-0.20006,0.14756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
