desired/rot/x,desired/rot/y,desired/rot/z,desired/time,feedback/rot/x,feedback/rot/y,feedback/rot/z,feedback/time,input/rot/x,input/rot/y,input/rot/z,input/time,loadcell/tran/x,loadcell/tran/y,loadcell/tran/z,loadcell/rot/x,loadcell/rot/y,loadcell/rot/z,loadcell/time,feedback/pos/x,feedback/pos/y,feedback/pos/z,temp01,temp02,temp03,temp04,springTargetLength,springCurrentLength,motorPosition,motorSpeed,motorTrajGen,marker/1_1/ts,marker/1_1/x,marker/1_1/y,marker/1_1/z,marker/1_2/ts,marker/1_2/x,marker/1_2/y,marker/1_2/z,marker/1_3/ts,marker/1_3/x,marker/1_3/y,marker/1_3/z,marker/1_4/ts,marker/1_4/x,marker/1_4/y,marker/1_4/z,marker/1_5/ts,marker/1_5/x,marker/1_5/y,marker/1_5/z,marker/1_6/ts,marker/1_6/x,marker/1_6/y,marker/1_6/z,marker/1_7/ts,marker/1_7/x,marker/1_7/y,marker/1_7/z,marker/1_8/ts,marker/1_8/x,marker/1_8/y,marker/1_8/z,marker/1_9/ts,marker/1_9/x,marker/1_9/y,marker/1_9/z,marker/1_10/ts,marker/1_10/x,marker/1_10/y,marker/1_10/z,marker/1_11/ts,marker/1_11/x,marker/1_11/y,marker/1_11/z,marker/1_12/ts,marker/1_12/x,marker/1_12/y,marker/1_12/z,marker/1_13/ts,marker/1_13/x,marker/1_13/y,marker/1_13/z,marker/1_14/ts,marker/1_14/x,marker/1_14/y,marker/1_14/z,marker/1_15/ts,marker/1_15/x,marker/1_15/y,marker/1_15/z,marker/1_16/ts,marker/1_16/x,marker/1_16/y,marker/1_16/z
0,0,0,0,-5.49779e-05,1.9635e-05,-1.1781e-05,4050,0,0,0,0,-1.43172,0.00288734,-34.4016,-0.938983,-0.464403,0.309873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86832,-0.02457,0.09491,0,0.87997,-0.0123,0.07558,0,0.8986,-0.09121,0.05859,0,0.85606,-0.07368,0.03607,0,0.87394,-0.06548,0.0197,0,0.87093,-0.0832,0.00101,0,0.87532,-0.12769,0.05125,0,0.86607,-0.11918,0.01346,0,0.87896,-0.10924,0.03357,0,0.87448,0.01209,0.08017,0,0.89695,-0.11477,0.04686,0,0.89266,-0.09739,0.08265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4000,-5.49779e-05,1.9635e-05,-1.1781e-05,8018,0,0,0,4000,-1.43076,0.0199429,-34.5048,-0.941586,-0.463112,0.309968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86836,-0.02457,0.09494,0,0.87989,-0.01232,0.07557,0,0.89849,-0.09104,0.05852,0,0.85602,-0.07356,0.03605,0,0.87395,-0.06544,0.01967,0,0.8709,-0.08332,0.00098,0,0.87549,-0.1276,0.05127,0,0.86613,-0.11903,0.01338,0,0.87917,-0.10918,0.03359,0,0.87446,0.01217,0.08023,0,0.89687,-0.11451,0.04696,0,0.89267,-0.09731,0.08268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8000,-5.49779e-05,1.9635e-05,-1.1781e-05,12041,0,0,0,8000,-1.4372,0.0416412,-34.6049,-0.943673,-0.461711,0.310205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86836,-0.02457,0.09494,0,0.87989,-0.01232,0.07557,0,0.89849,-0.09104,0.05852,0,0.85602,-0.07356,0.03605,0,0.87395,-0.06544,0.01967,0,0.8709,-0.08332,0.00098,0,0.87549,-0.1276,0.05127,0,0.86613,-0.11903,0.01338,0,0.87917,-0.10918,0.03359,0,0.87446,0.01217,0.08023,0,0.89687,-0.11451,0.04696,0,0.89267,-0.09731,0.08268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12000,-5.49779e-05,1.5708e-05,-1.1781e-05,16023,0,0,0,12000,-1.45234,0.0584529,-34.6705,-0.944276,-0.460571,0.310433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86836,-0.02457,0.09494,0,0.87989,-0.01232,0.07557,0,0.89849,-0.09104,0.05852,0,0.85602,-0.07356,0.03605,0,0.87395,-0.06544,0.01967,0,0.8709,-0.08332,0.00098,0,0.87549,-0.1276,0.05127,0,0.86613,-0.11903,0.01338,0,0.87917,-0.10918,0.03359,0,0.87446,0.01217,0.08023,0,0.89687,-0.11451,0.04696,0,0.89267,-0.09731,0.08268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16000,-5.10509e-05,1.5708e-05,-7.85398e-06,20015,0,0,0,16000,-1.47135,0.0655345,-34.6959,-0.944594,-0.460311,0.31046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86836,-0.02457,0.09494,0,0.87989,-0.01232,0.07557,0,0.89849,-0.09104,0.05852,0,0.85602,-0.07356,0.03605,0,0.87395,-0.06544,0.01967,0,0.8709,-0.08332,0.00098,0,0.87549,-0.1276,0.05127,0,0.86613,-0.11903,0.01338,0,0.87917,-0.10918,0.03359,0,0.87446,0.01217,0.08023,0,0.89687,-0.11451,0.04696,0,0.89267,-0.09731,0.08268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20000,-5.10509e-05,1.5708e-05,-7.85398e-06,24017,0,0,0,20000,-1.48683,0.0643671,-34.7045,-0.945039,-0.460832,0.310262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86835,-0.02466,0.09486,0,0.88,-0.01224,0.07557,0,0.89865,-0.09115,0.05855,0,0.85602,-0.07368,0.03605,0,0.87394,-0.06591,0.0197,0,0.87114,-0.08302,0.00098,0,0.8754,-0.12765,0.0512,0,0.86608,-0.11926,0.01349,0,0.87897,-0.10895,0.03355,0,0.8745,0.01225,0.08024,0,0.89679,-0.11482,0.0469,0,0.89272,-0.09752,0.08277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,24000,-4.71239e-05,1.5708e-05,-7.85398e-06,28017,0,0,0,24000,-1.49743,0.060263,-34.7229,-0.945593,-0.46138,0.3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86835,-0.02466,0.09486,0,0.88,-0.01224,0.07557,0,0.89865,-0.09115,0.05855,0,0.85602,-0.07368,0.03605,0,0.87394,-0.06591,0.0197,0,0.87114,-0.08302,0.00098,0,0.8754,-0.12765,0.0512,0,0.86608,-0.11926,0.01349,0,0.87897,-0.10895,0.03355,0,0.8745,0.01225,0.08024,0,0.89679,-0.11482,0.0469,0,0.89272,-0.09752,0.08277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28000,-4.31969e-05,1.5708e-05,-7.85398e-06,32012,0,0,0,28000,-1.5011,0.0584743,-34.7506,-0.946399,-0.461591,0.310227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86835,-0.02466,0.09486,0,0.88,-0.01224,0.07557,0,0.89865,-0.09115,0.05855,0,0.85602,-0.07368,0.03605,0,0.87394,-0.06591,0.0197,0,0.87114,-0.08302,0.00098,0,0.8754,-0.12765,0.0512,0,0.86608,-0.11926,0.01349,0,0.87897,-0.10895,0.03355,0,0.8745,0.01225,0.08024,0,0.89679,-0.11482,0.0469,0,0.89272,-0.09752,0.08277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32000,-3.92699e-05,1.5708e-05,-7.85398e-06,36013,0,0,0,32000,-1.49494,0.0627301,-34.7873,-0.947633,-0.461403,0.310646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86835,-0.02466,0.09486,0,0.88,-0.01224,0.07557,0,0.89865,-0.09115,0.05855,0,0.85602,-0.07368,0.03605,0,0.87394,-0.06591,0.0197,0,0.87114,-0.08302,0.00098,0,0.8754,-0.12765,0.0512,0,0.86608,-0.11926,0.01349,0,0.87897,-0.10895,0.03355,0,0.8745,0.01225,0.08024,0,0.89679,-0.11482,0.0469,0,0.89272,-0.09752,0.08277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,36000,-3.92699e-05,1.5708e-05,-7.85398e-06,40018,0,0,0,36000,-1.47775,0.0699845,-34.8122,-0.948617,-0.461276,0.310907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86855,-0.02464,0.09502,0,0.88006,-0.01228,0.0756,0,0.89847,-0.09127,0.05847,0,0.85617,-0.07366,0.03613,0,0.8741,-0.06525,0.0197,0,0.87093,-0.08312,0.00099,0,0.87545,-0.1277,0.05129,0,0.86599,-0.1192,0.01344,0,0.87901,-0.10925,0.0335,0,0.87448,0.01212,0.08025,0,0.89685,-0.11475,0.04695,0,0.89256,-0.09749,0.0827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
