desired/rot/x,desired/rot/y,desired/rot/z,desired/time,feedback/rot/x,feedback/rot/y,feedback/rot/z,feedback/time,input/rot/x,input/rot/y,input/rot/z,input/time,loadcell/tran/x,loadcell/tran/y,loadcell/tran/z,loadcell/rot/x,loadcell/rot/y,loadcell/rot/z,loadcell/time,feedback/pos/x,feedback/pos/y,feedback/pos/z,temp01,temp02,temp03,temp04,springTargetLength,springCurrentLength,motorPosition,motorSpeed,motorTrajGen,marker/1_1/ts,marker/1_1/x,marker/1_1/y,marker/1_1/z,marker/1_2/ts,marker/1_2/x,marker/1_2/y,marker/1_2/z,marker/1_3/ts,marker/1_3/x,marker/1_3/y,marker/1_3/z,marker/1_4/ts,marker/1_4/x,marker/1_4/y,marker/1_4/z,marker/1_5/ts,marker/1_5/x,marker/1_5/y,marker/1_5/z,marker/1_6/ts,marker/1_6/x,marker/1_6/y,marker/1_6/z,marker/1_7/ts,marker/1_7/x,marker/1_7/y,marker/1_7/z,marker/1_8/ts,marker/1_8/x,marker/1_8/y,marker/1_8/z,marker/1_9/ts,marker/1_9/x,marker/1_9/y,marker/1_9/z,marker/1_10/ts,marker/1_10/x,marker/1_10/y,marker/1_10/z,marker/1_11/ts,marker/1_11/x,marker/1_11/y,marker/1_11/z,marker/1_12/ts,marker/1_12/x,marker/1_12/y,marker/1_12/z,marker/1_13/ts,marker/1_13/x,marker/1_13/y,marker/1_13/z,marker/1_14/ts,marker/1_14/x,marker/1_14/y,marker/1_14/z,marker/1_15/ts,marker/1_15/x,marker/1_15/y,marker/1_15/z,marker/1_16/ts,marker/1_16/x,marker/1_16/y,marker/1_16/z
0,0,0,0,3.92699e-06,1.1781e-05,-3.92699e-06,4100,0,0,0,0,-5.98536,1.48537,-16.9933,-0.458426,-0.513287,0.283973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89471,-0.02045,0.12582,0,0.8925,-0.01358,0.10138,0,0.89746,-0.096,0.04045,0,0.87907,-0.06828,0.03653,0,0.86174,-0.07287,0.05518,0,0.87619,-0.08937,0.02217,0,0.89609,-0.10149,0.07322,0,0.8979,-0.07605,0.06844,0,0.88002,-0.06874,0.08827,0,0.88071,0.00901,0.10361,0,0.88604,-0.10746,0.02099,0,0.89378,-0.11295,0.05909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4000,3.92699e-06,1.1781e-05,-3.92699e-06,8018,0,0,0,4000,-5.98608,1.49639,-17.0114,-0.458021,-0.513982,0.284287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89471,-0.02045,0.12582,0,0.8925,-0.01358,0.10138,0,0.89746,-0.096,0.04045,0,0.87907,-0.06828,0.03653,0,0.86174,-0.07287,0.05518,0,0.87619,-0.08937,0.02217,0,0.89609,-0.10149,0.07322,0,0.8979,-0.07605,0.06844,0,0.88002,-0.06874,0.08827,0,0.88071,0.00901,0.10361,0,0.88604,-0.10746,0.02099,0,0.89378,-0.11295,0.05909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8000,3.92699e-06,1.1781e-05,-3.92699e-06,12022,0,0,0,8000,-5.9838,1.49962,-17.0372,-0.457463,-0.514689,0.284251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89471,-0.02045,0.12582,0,0.8925,-0.01358,0.10138,0,0.89746,-0.096,0.04045,0,0.87907,-0.06828,0.03653,0,0.86174,-0.07287,0.05518,0,0.87619,-0.08937,0.02217,0,0.89609,-0.10149,0.07322,0,0.8979,-0.07605,0.06844,0,0.88002,-0.06874,0.08827,0,0.88071,0.00901,0.10361,0,0.88604,-0.10746,0.02099,0,0.89378,-0.11295,0.05909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12000,3.92699e-06,7.85398e-06,-3.92699e-06,16036,0,0,0,12000,-5.98324,1.49579,-17.0461,-0.4571,-0.51504,0.284128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89471,-0.02045,0.12582,0,0.8925,-0.01358,0.10138,0,0.89746,-0.096,0.04045,0,0.87907,-0.06828,0.03653,0,0.86174,-0.07287,0.05518,0,0.87619,-0.08937,0.02217,0,0.89609,-0.10149,0.07322,0,0.8979,-0.07605,0.06844,0,0.88002,-0.06874,0.08827,0,0.88071,0.00901,0.10361,0,0.88604,-0.10746,0.02099,0,0.89378,-0.11295,0.05909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16000,3.92699e-06,1.1781e-05,-3.92699e-06,20021,0,0,0,16000,-5.98901,1.48868,-17.0351,-0.456894,-0.515094,0.284199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89472,-0.02053,0.12584,0,0.89261,-0.01352,0.10138,0,0.89748,-0.09619,0.04053,0,0.87915,-0.06836,0.03657,0,0.86164,-0.07283,0.05516,0,0.87613,-0.0894,0.02218,0,0.89602,-0.10165,0.07323,0,0.89774,-0.07606,0.06839,0,0.88015,-0.06869,0.08827,0,0.8807,0.00879,0.10357,0,0.88629,-0.10717,0.02096,0,0.89397,-0.11298,0.05908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20000,3.92699e-06,7.85398e-06,-3.92699e-06,24020,0,0,0,20000,-5.99724,1.48021,-17.0177,-0.456794,-0.515007,0.284507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89472,-0.02053,0.12584,0,0.89261,-0.01352,0.10138,0,0.89748,-0.09619,0.04053,0,0.87915,-0.06836,0.03657,0,0.86164,-0.07283,0.05516,0,0.87613,-0.0894,0.02218,0,0.89602,-0.10165,0.07323,0,0.89774,-0.07606,0.06839,0,0.88015,-0.06869,0.08827,0,0.8807,0.00879,0.10357,0,0.88629,-0.10717,0.02096,0,0.89397,-0.11298,0.05908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,24000,3.92699e-06,1.1781e-05,-3.92699e-06,28013,0,0,0,24000,-6.00006,1.47004,-17.0114,-0.456749,-0.514664,0.28485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89472,-0.02053,0.12584,0,0.89261,-0.01352,0.10138,0,0.89748,-0.09619,0.04053,0,0.87915,-0.06836,0.03657,0,0.86164,-0.07283,0.05516,0,0.87613,-0.0894,0.02218,0,0.89602,-0.10165,0.07323,0,0.89774,-0.07606,0.06839,0,0.88015,-0.06869,0.08827,0,0.8807,0.00879,0.10357,0,0.88629,-0.10717,0.02096,0,0.89397,-0.11298,0.05908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28000,3.92699e-06,1.1781e-05,-3.92699e-06,32012,0,0,0,28000,-5.99646,1.46137,-17.0192,-0.457005,-0.513994,0.284995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89472,-0.02053,0.12584,0,0.89261,-0.01352,0.10138,0,0.89748,-0.09619,0.04053,0,0.87915,-0.06836,0.03657,0,0.86164,-0.07283,0.05516,0,0.87613,-0.0894,0.02218,0,0.89602,-0.10165,0.07323,0,0.89774,-0.07606,0.06839,0,0.88015,-0.06869,0.08827,0,0.8807,0.00879,0.10357,0,0.88629,-0.10717,0.02096,0,0.89397,-0.11298,0.05908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32000,3.92699e-06,7.85398e-06,-3.92699e-06,36021,0,0,0,32000,-5.99718,1.46074,-17.014,-0.457884,-0.513315,0.284961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89467,-0.02037,0.12586,0,0.89256,-0.01355,0.1014,0,0.89754,-0.09585,0.04045,0,0.87916,-0.06833,0.03656,0,0.86161,-0.07287,0.05516,0,0.87601,-0.08959,0.02215,0,0.89604,-0.1017,0.07328,0,0.89781,-0.07599,0.06844,0,0.88013,-0.06869,0.08819,0,0.88074,0.00868,0.10355,0,0.88606,-0.10747,0.02095,0,0.89379,-0.11287,0.05912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,36000,3.92699e-06,1.1781e-05,-3.92699e-06,40013,0,0,0,36000,-6.00952,1.46353,-16.9885,-0.459074,-0.513059,0.284909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89467,-0.02037,0.12586,0,0.89256,-0.01355,0.1014,0,0.89754,-0.09585,0.04045,0,0.87916,-0.06833,0.03656,0,0.86161,-0.07287,0.05516,0,0.87601,-0.08959,0.02215,0,0.89604,-0.1017,0.07328,0,0.89781,-0.07599,0.06844,0,0.88013,-0.06869,0.08819,0,0.88074,0.00868,0.10355,0,0.88606,-0.10747,0.02095,0,0.89379,-0.11287,0.05912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
